date,clicks,impressions,ctr,position
2026-04-15,0,470,0,42.62978723404255
2026-04-16,0,531,0,44.433145009416194
2026-04-17,0,486,0,40.940329218106996
2026-04-18,0,523,0,44.30401529636711
2026-04-19,0,553,0,42.298372513562384
2026-04-20,0,613,0,44.94616639477977
2026-04-21,0,669,0,41.92974588938714
2026-04-22,0,751,0,44.25832223701731
2026-04-23,0,515,0,45.04466019417476
2026-04-24,0,298,0,46.87248322147651
2026-04-25,0,244,0,46.192622950819676
2026-04-26,0,279,0,43.60573476702509
2026-04-27,0,265,0,45.50566037735849
2026-04-28,0,329,0,44.07294832826748
2026-04-29,0,280,0,45.35357142857143
2026-04-30,0,228,0,44.74561403508772
2026-05-01,0,229,0,46.55458515283843
2026-05-02,0,237,0,47.51898734177215
2026-05-03,0,269,0,46.29739776951673
2026-05-04,0,229,0,46.724890829694324
2026-05-05,0,236,0,47.45762711864407
2026-05-06,0,225,0,46.284444444444446
2026-05-07,0,119,0,39.78151260504202
2026-05-08,0,124,0,45.78225806451613
2026-05-09,0,71,0,53.436619718309856
2026-05-10,0,77,0,50.467532467532465
2026-05-11,0,95,0,55.97894736842105
2026-05-12,0,280,0,52.114285714285714
2026-05-13,0,345,0,47.553623188405794
2026-05-14,0,271,0,47.23247232472325
2026-05-15,0,234,0,39.58119658119658
2026-05-16,0,346,0,41.08381502890173
2026-05-17,0,421,0,40.180522565320665
2026-05-18,0,375,0,41.31733333333333
2026-05-19,0,397,0,41.458438287153655
2026-05-20,0,409,0,41.12958435207824
2026-05-21,0,344,0,40.08720930232558
2026-05-22,0,352,0,41.35795454545455
2026-05-23,0,330,0,40.75757575757576
2026-05-24,0,369,0,39.0840108401084
2026-05-25,0,380,0,39.2
2026-05-26,0,315,0,38.66031746031746
2026-05-27,0,392,0,39.058673469387756
2026-05-28,0,429,0,39.421911421911425
2026-05-29,0,348,0,36.63793103448276
2026-05-30,0,200,0,35.02
2026-05-31,0,218,0,33.24770642201835
2026-06-01,0,252,0,32.41666666666667
2026-06-02,1,237,0.004219409282700422,33.11392405063291
2026-06-03,0,249,0,31.598393574297187
2026-06-04,0,203,0,34.97536945812808
2026-06-05,0,214,0,30.378504672897197
2026-06-06,0,201,0,29.228855721393035
2026-06-07,0,218,0,30.972477064220183
2026-06-08,0,222,0,31.64864864864865
2026-06-09,1,253,0.003952569169960474,37.391304347826086
2026-06-10,1,228,0.0043859649122807015,32.66666666666667
2026-06-11,0,228,0,34.20614035087719
2026-06-12,0,207,0,31.52657004830918
2026-06-13,0,247,0,33.70445344129555
2026-06-14,0,207,0,29.59903381642512
2026-06-15,1,241,0.004149377593360996,33.08298755186722
2026-06-16,0,222,0,30.175675675675677
2026-06-17,0,221,0,31.65610859728507
2026-06-18,0,210,0,31.347619047619048
2026-06-19,0,165,0,32.60606060606061
2026-06-20,0,176,0,30.454545454545453
2026-06-21,1,240,0.004166666666666667,29.8375
2026-06-22,0,233,0,37.48497854077253
2026-06-23,0,278,0,31.219424460431654
2026-06-24,0,212,0,32.47169811320755
2026-06-25,0,208,0,35.46153846153846
2026-06-26,0,211,0,32.29857819905213
2026-06-27,0,217,0,28.972350230414747
2026-06-28,0,211,0,30.75829383886256
2026-06-29,2,229,0.008733624454148471,30.99126637554585
2026-06-30,1,212,0.0047169811320754715,29.391509433962263
2026-07-01,0,201,0,29.47761194029851
2026-07-02,0,190,0,29.657894736842106
2026-07-03,0,208,0,31.927884615384617
2026-07-04,0,194,0,27.314432989690722
2026-07-05,0,209,0,31.904306220095695
2026-07-06,0,203,0,33.90147783251231
2026-07-07,0,225,0,28.90222222222222
2026-07-08,0,255,0,28.137254901960784
2026-07-09,0,236,0,27.516949152542374
2026-07-10,0,239,0,30
2026-07-11,0,250,0,28.94
2026-07-12,1,282,0.0035460992907801418,29.865248226950353
